,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,-2150.0,,,,,0.0,,,"JORDAN:  BAB-A-DARAA,AL-KARAK",31.1,35.5,,7.3,,,,,,,,,3.0,,,,,,,,,,,,,,,,
2,,-2000.0,,,,,,1.0,,SYRIA:  UGARIT,35.683,35.8,,,10.0,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,
3,,-2000.0,,,,,,,,TURKMENISTAN:  W,38.0,58.2,18.0,7.1,10.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,
4,,-1610.0,,,,,,3.0,1351.0,GREECE:  THERA ISLAND (SANTORINI),36.4,25.4,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,
5,,-1566.0,,,,,0.0,,,ISRAEL:  ARIHA (JERICHO),31.5,35.3,,,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
6,,-1450.0,,,,,,,,ITALY:  LACUS CIMINI,35.5,25.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
7,,-1365.0,,,,,,4.0,,SYRIAN COASTS,35.683,35.8,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
8,,-1250.0,,,,,0.0,,,ISRAEL:  ARIHA (JERICHO),32.0,35.5,,6.5,,,,,,,,,3.0,,,,,,,,,,,,,,,,
9,,-1050.0,,,,,0.0,,,JORDAN:  SW:  TIMNA COPPER MINES,29.6,35.0,,6.2,,,,,,,,,3.0,,,,,,,,,,,,,,,,
10,,-759.0,,,,,0.0,,,ISRAEL:  JERUSALEM,33.0,35.5,,,11.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
11,,-590.0,,,,,,7.0,,LEBANON:  SUR (TYRE),33.27,35.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,-550.0,,,,,,,,GREECE:  MOUNT TAYGETUS,37.0,22.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
13,,-525.0,,,,,,8.0,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.56,35.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,-480.0,9.0,29.0,,,,3469.0,,GREECE:  SARONIC GULF,37.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,-479.0,,,,,,9.0,,GREECE:  MACEDONIA,39.7,23.3,,7.0,9.0,,,,,,,,,,,,,,3.0,,,,,,,,,,
16,,-432.0,,,,,,,,GREECE:  ROMAN TERRITORIES,37.0,22.5,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,
17,,-426.0,6.0,,,,,10.0,,GREECE:  EUBOEA,38.9,22.7,,7.1,10.0,2500.0,4.0,,,,,,3.0,,3.0,,,2500.0,4.0,,,,,,3.0,,3.0,,
18,,-400.0,,,,,,,,"IRAN:  REY,EIVAN-E-KAY",35.5,51.8,,7.6,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
19,,-373.0,,,,,,11.0,,GREECE,38.25,22.25,,7.3,11.0,,3.0,,,,,,3.0,,3.0,,,,3.0,,,,,,3.0,,3.0,,
20,,-364.0,,,,,,,,ITALY:  ROME,35.0,25.0,100.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
21,,-330.0,,,,,,12.0,,GREECE:  AEGEAN SEA,40.0,25.0,,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
22,,-326.0,11.0,,,,,5282.0,,INDIA:  KUTCH,23.0,71.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
23,,-282.0,,,,,,,,TURKEY:  LYSIMACHIA,41.0,27.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
24,,-282.0,,,,,,,,GREECE:  DELPHI,38.5,22.5,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
25,,-250.0,,,,,,,,KYRGYZSTAN:  CHIGUCHIN,42.7,77.5,20.0,6.7,9.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
26,,-241.0,,,,,,,,SPAIN:  CADIZ,36.0,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,-227.0,,,,,,3092.0,,GREECE:  DODECANESE ISLANDS,36.3,28.3,100.0,7.2,10.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,
28,,-223.0,10.0,,,,,3472.0,,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,-221.0,,,,,,,,EGYPT:  SIWA OASIS; LIBYA,29.2,25.5,,,7.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
30,,-217.0,,,,,,,,"ITALY:  LIGURIA (LIGURIE), GAULE",44.3,8.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
31,,-216.0,,,,,,5382.0,,SPAIN:  CADIZ,36.2,-7.17,,,,,1.0,,,,,,2.0,,1.0,,,,1.0,,,,,,2.0,,1.0,,
32,,-210.0,,,,,,4281.0,,PORTUGAL:  CABO SAN VICENTE,36.0,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,-198.0,,,,,,3473.0,5324.0,EAST MEDITERRANEAN SEA,36.404,25.396,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,-193.0,2.0,,,,,,,CHINA:  GANSU PROVINCE:  LINTAO,35.4,103.9,,6.5,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
35,,-186.0,2.0,22.0,,,,,,CHINA:  GANSU PROVINCE,33.8,105.6,,7.0,,760.0,3.0,,,,,,,,,,,760.0,3.0,,,,,,,,,,
36,,-177.0,,,,,,,,ITALY:  SABINES,,,100.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,2.0,,
37,,-70.0,6.0,1.0,,,,,,CHINA:  SHANDONG PROVINCE,36.3,119.0,,7.0,9.0,6000.0,4.0,,,,,,,,,,,6000.0,4.0,,,,,,,,,,
38,,-63.0,10.0,,,,,,,RUSSIA:  PANTIKAPEY,45.2,36.6,20.0,6.4,8.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
39,,-60.0,,,,,,4263.0,,PORTUGAL:  CABO SAN VICENTE,36.0,-10.7,,8.5,10.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
40,,-58.0,,,,,,3714.0,,ALBANIA:  DYRRACHIUM,41.3,19.5,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
41,,-50.0,,,,,,3794.0,,"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.5,28.5,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
